,mean_abs_shap
BUREAU_CLOSED_AMT_CREDIT_SUM_mean,0.0098169455
BUREAU_DAYS_ENDDATE_FACT_max,0.009571293
PREV_APPROVED_AMT_APPLICATION_sum,0.009570542
DEF_60_CNT_SOCIAL_CIRCLE,0.0094921
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_mean,0.009287411
BUREAU_AMT_CREDIT_MAX_OVERDUE_sum,0.009160481
PREV_DAYS_LAST_DUE_mean,0.009090555
BUREAU_CREDIT_TYPE_Mortgage_mean,0.008951721
PREV_REFUSED_DAYS_DECISION_max,0.008918433
PREV_DAYS_FIRST_DRAWING_sum,0.008910139
PREV_RATE_DOWN_PAYMENT_min,0.008718492
PREV_AMT_DOWN_PAYMENT_sum,0.008609867
PREV_NAME_GOODS_CATEGORY_Furniture_mean,0.008429748
PREV_APPROVED_AMT_ANNUITY_max,0.008374279
BUREAU_DAYS_CREDIT_ENDDATE_sum,0.008270587
PREV_AMT_DOWN_PAYMENT_mean,0.008268608
PREV_NAME_CONTRACT_STATUS_Approved_mean,0.008233535
PREV_NAME_TYPE_SUITE_Unaccompanied_mean,0.008067653
PREV_APPROVED_SELLERPLACE_AREA_sum,0.008063781
PREV_APPROVED_HOUR_APPR_PROCESS_START_sum,0.008024038
PREV_DAYS_FIRST_DUE_max,0.00801144
NAME_EDUCATION_TYPE_Secondary / secondary special,0.007882025
BUREAU_CLOSED_DAYS_CREDIT_UPDATE_mean,0.007753128
AMT_INCOME_TOTAL,0.0077134287
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_max,0.0076840194
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_mean,0.007231344
BUREAU_CLOSED_DAYS_CREDIT_max,0.0071480493
PREV_DAYS_DECISION_max,0.0070387116
BUREAU_ACTIVE_AMT_CREDIT_SUM_sum,0.006944526
PREV_PRODUCT_COMBINATION_Cash Street: low_mean,0.0069267107
PREV_APPROVED_DAYS_LAST_DUE_1ST_VERSION_max,0.0069262423
PREV_PRODUCT_COMBINATION_POS industry with interest_mean,0.0068441965
BUREAU_CREDIT_TYPE_Microloan_mean,0.0067086294
PREV_REFUSED_CNT_PAYMENT_max,0.0066386354
FLAG_WORK_PHONE,0.0064442186
AMT_REQ_CREDIT_BUREAU_YEAR,0.006372735
BUREAU_ACTIVE_DAYS_CREDIT_mean,0.0063158837
PREV_APPROVED_HOUR_APPR_PROCESS_START_mean,0.0061197937
BUREAU_CLOSED_DAYS_CREDIT_ENDDATE_max,0.0059588086
PREV_CNT_PAYMENT_max,0.005952796
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_sum,0.0058907266
PREV_DAYS_LAST_DUE_1ST_VERSION_mean,0.005805711
BUREAU_CLOSED_AMT_CREDIT_SUM_max,0.005603355
PREV_APPROVED_RATE_DOWN_PAYMENT_sum,0.0055786287
PREV_CHANNEL_TYPE_AP+ (Cash loan)_mean,0.005517907
BUREAU_AMT_CREDIT_SUM_DEBT_sum,0.005494145
BUREAU_AMT_CREDIT_SUM_max,0.0054440782
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_mean,0.005424675
BUREAU_AMT_CREDIT_SUM_mean,0.0054173837
PREV_HOUR_APPR_PROCESS_START_std,0.005336198
PREV_APPROVED_AMT_DOWN_PAYMENT_max,0.0052680494
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_sum,0.0052600983
YEARS_BEGINEXPLUATATION_MODE,0.005254785
PREV_HOUR_APPR_PROCESS_START_mean,0.005242525
PREV_NAME_PRODUCT_TYPE_walk-in_mean,0.0052201673
PREV_APPROVED_AMT_CREDIT_sum,0.0052142898
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_mean,0.0051359436
BUREAU_AMT_CREDIT_SUM_sum,0.0051101595
BUREAU_AMT_CREDIT_SUM_LIMIT_std,0.0049780584
APARTMENTS_AVG,0.0049304194
PREV_RATE_DOWN_PAYMENT_max,0.004804953
PREV_AMT_GOODS_PRICE_min,0.004783817
NAME_INCOME_TYPE_Working,0.0047582975
PREV_AMT_DOWN_PAYMENT_max,0.004679022
PREV_APPROVED_DAYS_LAST_DUE_1ST_VERSION_sum,0.0046279714
BUREAU_AMT_CREDIT_SUM_DEBT_max,0.0046197786
BUREAU_ACTIVE_AMT_CREDIT_SUM_max,0.0046180603
PREV_APPROVED_DAYS_DECISION_sum,0.004547612
PREV_AMT_ANNUITY_sum,0.0044301245
BUREAU_DAYS_CREDIT_ENDDATE_mean,0.0044109924
PREV_RATE_DOWN_PAYMENT_sum,0.0044102645
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_sum,0.0043799765
EXT_SOURCE_3_MISSING_FLAG,0.0043417043
PREV_NFLAG_INSURED_ON_APPROVAL_mean,0.0043214154
PREV_APPROVED_CNT_PAYMENT_sum,0.004272834
PREV_DAYS_LAST_DUE_1ST_VERSION_sum,0.0042319084
PREV_APPROVED_SELLERPLACE_AREA_max,0.004231608
PREV_DAYS_LAST_DUE_sum,0.0041356115
BUREAU_DAYS_CREDIT_UPDATE_max,0.00402283
BUREAU_AMT_CREDIT_SUM_std,0.00401379
PREV_NAME_SELLER_INDUSTRY_Furniture_mean,0.003969456
HOUR_APPR_PROCESS_START,0.00396834
PREV_NAME_PRODUCT_TYPE_x-sell_mean,0.0039434214
PREV_NAME_GOODS_CATEGORY_Mobile_mean,0.0038895404
BUREAU_AMT_CREDIT_SUM_LIMIT_mean,0.0037812057
REGION_RATING_CLIENT,0.0037617171
PREV_DAYS_DECISION_mean,0.0037425
PREV_NAME_SELLER_INDUSTRY_Connectivity_mean,0.0036044903
PREV_DAYS_LAST_DUE_std,0.003597404
BUREAU_CLOSED_DAYS_CREDIT_ENDDATE_mean,0.0035825477
PREV_NFLAG_INSURED_ON_APPROVAL_std,0.0035738933
PREV_NAME_PAYMENT_TYPE_Cash through the bank_mean,0.0035719865
PREV_DAYS_FIRST_DUE_min,0.0035633275
BUREAU_ACTIVE_AMT_CREDIT_SUM_mean,0.0034254447
PREV_APPROVED_RATE_DOWN_PAYMENT_max,0.0033898908
LIVINGAREA_MODE,0.0032979988
PREV_NAME_CLIENT_TYPE_Repeater_mean,0.003285828
PREV_APPROVED_AMT_DOWN_PAYMENT_mean,0.0032522297
BUREAU_DAYS_ENDDATE_FACT_std,0.0031758638
BUREAU_BB_STATUS_0_mean_std,0.003155871
BUREAU_CLOSED_BB_STATUS_0_mean_sum,0.0030851443
PREV_APPROVED_DAYS_TERMINATION_max,0.0030810048
BUREAU_DAYS_CREDIT_min,0.0030270384
PREV_DAYS_LAST_DUE_1ST_VERSION_min,0.0030132453
PREV_APPROVED_DAYS_DECISION_max,0.0030045714
PREV_AMT_ANNUITY_std,0.002978408
BUREAU_AMT_CREDIT_MAX_OVERDUE_max,0.0029703912
BUREAU_CLOSED_DAYS_CREDIT_ENDDATE_sum,0.0029033471
PREV_DAYS_TERMINATION_sum,0.0029013052
PREV_SELLERPLACE_AREA_mean,0.002875874
BUREAU_DAYS_CREDIT_ENDDATE_min,0.0028536678
BUREAU_BB_STATUS_1_mean_mean,0.002832897
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_max,0.0028167672
PREV_DAYS_LAST_DUE_1ST_VERSION_std,0.002803105
BUREAU_ACTIVE_BB_MONTHS_BALANCE_max_mean,0.0027935694
PREV_AMT_GOODS_PRICE_mean,0.002762218
PREV_SELLERPLACE_AREA_sum,0.002731197
BUREAU_DAYS_CREDIT_ENDDATE_std,0.0027084677
PREV_NAME_SELLER_INDUSTRY_XNA_mean,0.0027052634
BUREAU_BB_MONTHS_BALANCE_size_sum,0.0026993586
BUREAU_BB_STATUS_C_mean_mean,0.0026860954
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_sum,0.002650381
PREV_AMT_DOWN_PAYMENT_min,0.002648668
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_max,0.0026435584
PREV_RATE_DOWN_PAYMENT_std,0.002640696
PREV_DAYS_TERMINATION_max,0.002629865
PREV_PRODUCT_COMBINATION_POS industry without interest_mean,0.0026253904
BUREAU_ACTIVE_BB_STATUS_0_mean_sum,0.0026195857
BUREAU_CLOSED_DAYS_ENDDATE_FACT_mean,0.002606938
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_mean,0.0026062047
PREV_AMT_ANNUITY_max,0.0025520436
BUREAU_DAYS_CREDIT_UPDATE_std,0.002550203
PREV_DAYS_FIRST_DUE_mean,0.0025448203
PREV_CODE_REJECT_REASON_HC_mean,0.002538051
PREV_APPROVED_RATE_DOWN_PAYMENT_mean,0.0025117914
PREV_NAME_YIELD_GROUP_middle_mean,0.0025034405
YEARS_BEGINEXPLUATATION_AVG,0.0024898197
BUREAU_AMT_ANNUITY_min,0.0024873058
PREV_DAYS_DECISION_std,0.0024615268
BUREAU_DAYS_CREDIT_UPDATE_mean,0.0024540324
PREV_APPROVED_AMT_CREDIT_max,0.002453528
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_mean,0.002444181
BUREAU_CLOSED_DAYS_CREDIT_mean,0.0024133304
BUREAU_DAYS_ENDDATE_FACT_min,0.0024062714
FLAG_OWN_CAR_Y,0.0024023547
APARTMENTS_MODE,0.0023922378
PREV_CODE_REJECT_REASON_LIMIT_mean,0.0023802798
PREV_CNT_PAYMENT_sum,0.0023759992
PREV_CHANNEL_TYPE_Stone_mean,0.0023577358
NAME_FAMILY_STATUS_Single / not married,0.0023513443
PREV_AMT_CREDIT_min,0.0023443499
BUREAU_ACTIVE_AMT_CREDIT_SUM_LIMIT_count,0.0023021854
BASEMENTAREA_AVG,0.002273132
PREV_AMT_GOODS_PRICE_std,0.0022606351
BUREAU_CLOSED_DAYS_CREDIT_sum,0.0022553112
PREV_DAYS_FIRST_DUE_sum,0.002244776
YEARS_BEGINEXPLUATATION_MEDI,0.0022294675
BUREAU_DAYS_CREDIT_sum,0.0022239839
BUREAU_ACTIVE_BB_MONTHS_BALANCE_size_sum,0.0022026617
BUREAU_AMT_CREDIT_SUM_LIMIT_count,0.0021916344
PREV_DAYS_LAST_DUE_min,0.0021863983
BUREAU_CLOSED_AMT_CREDIT_SUM_DEBT_count,0.0021815374
BUREAU_ACTIVE_BB_MONTHS_BALANCE_min_max,0.0021653397
FLOORSMAX_MEDI,0.0021643876
TOTALAREA_MODE,0.0021563228
PREV_APPROVED_DAYS_DECISION_mean,0.0021346495
NONLIVINGAPARTMENTS_MEDI,0.002127747
PREV_APPROVED_AMT_CREDIT_mean,0.0021197107
BUREAU_DAYS_CREDIT_std,0.0021183034
BUREAU_ACTIVE_DAYS_CREDIT_sum,0.0021078698
PREV_NAME_CONTRACT_STATUS_Canceled_mean,0.0020864087
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_mean,0.0020557982
PREV_SELLERPLACE_AREA_std,0.0020452389
PREV_NAME_PAYMENT_TYPE_XNA_mean,0.00203087
PREV_NAME_CLIENT_TYPE_New_mean,0.0020286043
PREV_HOUR_APPR_PROCESS_START_sum,0.0020146763
PREV_DAYS_DECISION_min,0.0019856738
PREV_NAME_PORTFOLIO_XNA_mean,0.001984859
ENTRANCES_AVG,0.0019699691
PREV_DAYS_TERMINATION_mean,0.0019528504
PREV_NAME_SELLER_INDUSTRY_Construction_mean,0.0019527996
BUREAU_CREDIT_TYPE_Consumer credit_mean,0.0019514854
PREV_APPROVED_AMT_GOODS_PRICE_sum,0.0019476766
PREV_APPROVED_DAYS_LAST_DUE_sum,0.0019474585
PREV_AMT_DOWN_PAYMENT_std,0.0019295297
BUREAU_BB_STATUS_C_mean_sum,0.0019100038
PREV_NAME_YIELD_GROUP_XNA_mean,0.001892345
PREV_APPROVED_AMT_GOODS_PRICE_mean,0.0018844595
BUREAU_CLOSED_BB_STATUS_1_mean_sum,0.0018782697
FLOORSMAX_MODE,0.0018771194
PREV_AMT_APPLICATION_std,0.0018759153
PREV_DAYS_TERMINATION_min,0.0018697315
BUREAU_BB_MONTHS_BALANCE_min_count,0.0018682199
COMMONAREA_MODE,0.0018546522
PREV_AMT_APPLICATION_mean,0.0018528763
PREV_APPROVED_SELLERPLACE_AREA_mean,0.0018415081
PREV_AMT_CREDIT_mean,0.0018331232
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_mean,0.0018309122
BUREAU_DAYS_CREDIT_ENDDATE_count,0.0018298823
PREV_APPROVED_AMT_GOODS_PRICE_max,0.0017938864
FLOORSMAX_AVG,0.0017661962
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_mean,0.0017568689
BUREAU_CREDIT_TYPE_Car loan_mean,0.0017515335
YEARS_BUILD_MEDI,0.0017326117
BUREAU_CLOSED_DAYS_CREDIT_UPDATE_sum,0.0017254974
WALLSMATERIAL_MODE_Panel,0.0017063584
PREV_APPROVED_AMT_APPLICATION_mean,0.0016981781
BUREAU_AMT_CREDIT_SUM_LIMIT_max,0.0016971355
BUREAU_AMT_CREDIT_MAX_OVERDUE_std,0.0016927206
BASEMENTAREA_MODE,0.0016746897
PREV_REFUSED_DAYS_DECISION_sum,0.0016507152
BUREAU_DAYS_ENDDATE_FACT_mean,0.001650602
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_mean,0.0016504545
PREV_RATE_DOWN_PAYMENT_mean,0.001641402
PREV_PRODUCT_COMBINATION_Cash Street: high_mean,0.0016316526
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_count,0.0016187889
BUREAU_BB_STATUS_X_mean_min,0.0016122975
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_mean,0.0015977423
BUREAU_CLOSED_BB_STATUS_C_mean_sum,0.0015737413
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_mean,0.0015647182
BUREAU_DAYS_CREDIT_UPDATE_sum,0.0015631786
BUREAU_BB_STATUS_C_mean_max,0.0015540352
PREV_DAYS_TERMINATION_std,0.0015438541
PREV_CHANNEL_TYPE_Regional / Local_mean,0.001539315
PREV_CHANNEL_TYPE_Country-wide_mean,0.0015041927
PREV_DAYS_DECISION_sum,0.0014978041
BUREAU_BB_STATUS_0_mean_mean,0.0014782728
BUREAU_CLOSED_BB_STATUS_X_mean_mean,0.001472044
BUREAU_AMT_CREDIT_SUM_LIMIT_sum,0.0014632836
PREV_NAME_PORTFOLIO_POS_mean,0.0014575187
PREV_APPROVED_HOUR_APPR_PROCESS_START_max,0.0014531674
FLAG_DOCUMENT_16,0.0014467345
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_mean,0.0014407858
BUREAU_BB_MONTHS_BALANCE_min_std,0.0014386964
LIVINGAREA_MEDI,0.001435166
BUREAU_CLOSED_AMT_CREDIT_SUM_LIMIT_count,0.0014317834
PREV_NAME_PRODUCT_TYPE_XNA_mean,0.0014250344
BUREAU_ACTIVE_BB_MONTHS_BALANCE_size_mean,0.0014221112
BUREAU_BB_STATUS_0_mean_sum,0.0014164873
BUREAU_DAYS_CREDIT_UPDATE_min,0.0013994989
PREV_AMT_CREDIT_max,0.0013796642
PREV_SELLERPLACE_AREA_max,0.0013642198
BUREAU_BB_MONTHS_BALANCE_min_sum,0.0013551277
PREV_APPROVED_DAYS_LAST_DUE_max,0.0013509985
LANDAREA_MODE,0.0013431018
ENTRANCES_MODE,0.0013330919
PREV_APPROVED_AMT_APPLICATION_max,0.0013292592
PREV_PRODUCT_COMBINATION_POS household without interest_mean,0.0013275822
BUREAU_CLOSED_BB_MONTHS_BALANCE_max_max,0.0013250117
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_count,0.0013199482
BUREAU_ACTIVE_BB_STATUS_0_mean_mean,0.0013100834
PREV_AMT_APPLICATION_min,0.0012945847
PREV_NAME_TYPE_SUITE_Family_mean,0.0012774307
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0012721629
BUREAU_CREDIT_TYPE_Credit card_mean,0.0012704394
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_count,0.0012633055
PREV_NAME_GOODS_CATEGORY_Photo / Cinema Equipment_mean,0.0012492378
PREV_NAME_CLIENT_TYPE_Refreshed_mean,0.0012482262
YEARS_BUILD_AVG,0.0012399782
LIVINGAREA_AVG,0.0012205521
PREV_HOUR_APPR_PROCESS_START_min,0.0011973378
FLOORSMIN_AVG,0.0011934723
PREV_SELLERPLACE_AREA_min,0.0011763256
PREV_REFUSED_DAYS_DECISION_mean,0.0011673607
BUREAU_CLOSED_BB_STATUS_2_mean_mean,0.0011654942
BUREAU_CLOSED_DAYS_CREDIT_ENDDATE_count,0.0011591028
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_mean,0.0011517545
NAME_INCOME_TYPE_State servant,0.0011501885
BUREAU_BB_MONTHS_BALANCE_max_std,0.0011477344
PREV_AMT_CREDIT_std,0.0011369484
FLOORSMIN_MEDI,0.0011291358
PREV_NAME_SELLER_INDUSTRY_Clothing_mean,0.0011248883
PREV_REFUSED_HOUR_APPR_PROCESS_START_sum,0.0011169306
BUREAU_AMT_ANNUITY_std,0.0011134623
OBS_60_CNT_SOCIAL_CIRCLE,0.0011003036
PREV_NAME_GOODS_CATEGORY_Audio/Video_mean,0.0011002941
LIVINGAPARTMENTS_AVG,0.0010979036
BUREAU_ACTIVE_BB_MONTHS_BALANCE_min_sum,0.001096812
BUREAU_DAYS_ENDDATE_FACT_sum,0.0010653553
BUREAU_BB_STATUS_0_mean_min,0.0010484755
BUREAU_DAYS_CREDIT_count,0.0010484258
PREV_APPROVED_DAYS_LAST_DUE_1ST_VERSION_mean,0.0010453688
PREV_REFUSED_AMT_GOODS_PRICE_mean,0.0010398057
NONLIVINGAREA_AVG,0.001037656
BUREAU_ACTIVE_AMT_CREDIT_SUM_LIMIT_max,0.0010261853
BUREAU_ACTIVE_DAYS_CREDIT_count,0.0010198365
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_mean,0.0010194877
PREV_CHANNEL_TYPE_Contact center_mean,0.0010161025
BUREAU_CLOSED_BB_MONTHS_BALANCE_min_mean,0.0010139717
BUREAU_CLOSED_AMT_ANNUITY_count,0.0010118107
PREV_REFUSED_RATE_DOWN_PAYMENT_sum,0.0010060146
BUREAU_CLOSED_BB_STATUS_0_mean_max,0.001000458
YEARS_BUILD_MODE,0.0010001984
NONLIVINGAREA_MODE,0.0009966823
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_sum,0.0009866684
LANDAREA_AVG,0.0009863422
OBS_30_CNT_SOCIAL_CIRCLE,0.0009794312
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_mean,0.0009734912
BUREAU_BB_MONTHS_BALANCE_max_mean,0.00096535694
BUREAU_CLOSED_BB_STATUS_C_mean_mean,0.0009532008
PREV_PRODUCT_COMBINATION_POS household with interest_mean,0.00094948104
APARTMENTS_MEDI,0.00094825716
BUREAU_AMT_ANNUITY_sum,0.0009447129
"PREV_NAME_TYPE_SUITE_Spouse, partner_mean",0.0009428841
PREV_REFUSED_RATE_DOWN_PAYMENT_mean,0.00094005367
BUREAU_CLOSED_AMT_ANNUITY_max,0.0009343415
PREV_AMT_APPLICATION_sum,0.00091597956
BUREAU_CLOSED_BB_MONTHS_BALANCE_min_max,0.00091594545
BUREAU_BB_MONTHS_BALANCE_size_max,0.0009137314
BUREAU_BB_STATUS_X_mean_mean,0.00091164524
BUREAU_ACTIVE_BB_STATUS_C_mean_mean,0.0009091815
ELEVATORS_MODE,0.00089486124
BASEMENTAREA_AVG_MISSING_FLAG,0.0008940213
BUREAU_ACTIVE_BB_MONTHS_BALANCE_size_max,0.00088419934
BUREAU_CLOSED_BB_MONTHS_BALANCE_size_sum,0.00087809906
BUREAU_BB_STATUS_C_mean_min,0.0008617528
BUREAU_BB_MONTHS_BALANCE_min_mean,0.0008591736
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0008570601
BUREAU_CLOSED_BB_STATUS_X_mean_max,0.0008526579
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.00084644556
BUREAU_ACTIVE_BB_MONTHS_BALANCE_min_mean,0.0008403983
BUREAU_BB_MONTHS_BALANCE_size_std,0.0008274027
PREV_AMT_APPLICATION_max,0.000822911
PREV_AMT_CREDIT_sum,0.00081902725
LIVINGAPARTMENTS_MEDI,0.0008044872
PREV_APPROVED_DAYS_FIRST_DUE_sum,0.00079459266
BUREAU_AMT_ANNUITY_max,0.0007849517
BUREAU_CLOSED_BB_MONTHS_BALANCE_max_mean,0.0007807641
BUREAU_ACTIVE_BB_STATUS_C_mean_sum,0.0007739895
PREV_NAME_GOODS_CATEGORY_Computers_mean,0.00076818094
FLAG_PHONE,0.0007621038
NAME_TYPE_SUITE_Family,0.00075800007
PREV_REFUSED_AMT_ANNUITY_mean,0.0007473081
PREV_HOUR_APPR_PROCESS_START_max,0.00074621144
BUREAU_CLOSED_DAYS_ENDDATE_FACT_sum,0.0007437185
BUREAU_BB_STATUS_0_mean_max,0.0007408707
COMMONAREA_AVG,0.0007330843
PREV_AMT_DOWN_PAYMENT_count,0.0007145608
BUREAU_CLOSED_BB_MONTHS_BALANCE_min_sum,0.0007134408
BUREAU_CLOSED_BB_MONTHS_BALANCE_size_mean,0.00069945666
PREV_REFUSED_AMT_APPLICATION_mean,0.0006880918
PREV_NAME_GOODS_CATEGORY_XNA_mean,0.0006735869
NAME_HOUSING_TYPE_Rented apartment,0.00067084766
PREV_NAME_CASH_LOAN_PURPOSE_XNA_mean,0.0006652797
PREV_NAME_CONTRACT_TYPE_Revolving loans_mean,0.0006644998
PREV_NAME_TYPE_SUITE_Children_mean,0.0006622711
COMMONAREA_AVG_MISSING_FLAG,0.00066226156
BUREAU_CLOSED_BB_STATUS_1_mean_mean,0.0006613497
PREV_REFUSED_CNT_PAYMENT_mean,0.0006607002
BUREAU_AMT_ANNUITY_mean,0.00066011236
LIVINGAPARTMENTS_MODE,0.0006566898
PREV_CHANNEL_TYPE_Credit and cash offices_mean,0.00065577356
BASEMENTAREA_MEDI,0.0006548969
PREV_REFUSED_HOUR_APPR_PROCESS_START_mean,0.00065486925
BUREAU_ACTIVE_AMT_ANNUITY_sum,0.0006514404
ENTRANCES_MEDI,0.0006509124
ELEVATORS_AVG,0.0006498031
BUREAU_BB_MONTHS_BALANCE_size_min,0.0006307877
PREV_REFUSED_RATE_DOWN_PAYMENT_max,0.0006300757
PREV_REFUSED_CNT_PAYMENT_sum,0.0006279284
BUREAU_BB_MONTHS_BALANCE_max_sum,0.00062683184
PREV_PRODUCT_COMBINATION_Card X-Sell_mean,0.000625159
PREV_NAME_PORTFOLIO_Cash_mean,0.0006143659
PREV_REFUSED_AMT_GOODS_PRICE_max,0.0006141783
BUREAU_ACTIVE_BB_STATUS_1_mean_max,0.00060923677
BUREAU_BB_STATUS_1_mean_min,0.0006086841
PREV_APPROVED_DAYS_LAST_DUE_mean,0.0006080898
PREV_APPROVED_AMT_DOWN_PAYMENT_count,0.00060046284
BUREAU_AMT_CREDIT_SUM_DEBT_count,0.00059012685
BUREAU_CLOSED_BB_STATUS_0_mean_mean,0.0005870875
NAME_HOUSING_TYPE_House / apartment,0.00058062247
OWN_CAR_AGE_MISSING_FLAG,0.0005794318
PREV_REFUSED_AMT_DOWN_PAYMENT_sum,0.00057766936
PREV_PRODUCT_COMBINATION_POS other with interest_mean,0.0005653545
BUREAU_BB_STATUS_X_mean_std,0.000558459
PREV_REFUSED_AMT_CREDIT_mean,0.0005549904
BUREAU_AMT_CREDIT_MAX_OVERDUE_min,0.00055011007
BUREAU_CLOSED_BB_STATUS_X_mean_sum,0.0005430612
BUREAU_CLOSED_BB_STATUS_C_mean_max,0.00054154807
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0005374663
PREV_REFUSED_AMT_ANNUITY_max,0.0005284377
PREV_REFUSED_HOUR_APPR_PROCESS_START_max,0.00052593433
BUREAU_CLOSED_BB_MONTHS_BALANCE_size_max,0.000522772
PREV_NFLAG_INSURED_ON_APPROVAL_sum,0.000518108
PREV_REFUSED_AMT_CREDIT_max,0.0005131821
BUREAU_CLOSED_AMT_CREDIT_SUM_LIMIT_mean,0.00050758384
